trips,routes
5183_6,5165
5122_77,5166
4611_22,5168
1729_10,5170
1503_20,5171
5019_22,5173
1418_39,5176
4813_19,5178
5341_36,5180
2622_1,5181
2532_5,5182
1328_6,5183
1182_3,5184
1962_10,5188
4699_1,5195
2200_4,5196
4433_56,5198
5341_3,5199
4813_55,5200
2503_6,5201
2111_76,5202
4289_15,5206
2267_16,5208
1740_46,5212
1962_39,5235
5105_99,5238
1722_0,5244
4541_17,5246
5042_38,5248
1417_70,5249
1226_1,5251
2155_0,5252
3776_41,5258
1001_7,5260
2747_6,5263
1228_53,5265
4856_7,5266
1417_18,5267
4780_0,5274
1537_9,5275
2808_3,5277
3866_44,5280
4322_7,5281
1539_10,5282
1439_35,5286
5181_5,5287
1595_6,5288
5060_19,5289
2626_81,5290
2522_5,5291
1990_12,5292
1729_2,5293
1726_1,5296
3412_0,5298
1317_7,5302
1439_80,5303
3770_0,5305
1003_24,5306
5085_9,5307
2299_6,5308
1427_13,5309
5084_16,5310
5289_3,5311
1788_81,5312
3189_23,5313
4665_29,5316
4598_11,5323
4322_30,5324
5266_36,5326
3105_55,5329
1975_36,5330
2535_24,5331
3821_34,5332
1230_27,5339
5543_1,5341
4012_50,5342
1537_10,5343
2353_0,5347
2608_19,5350
1464_62,5352
1403_0,5353
1962_44,5354
1736_1,5355
2632_38,5358
1510_34,5365
2200_2,5368
4134_7,5370
3759_46,5372
3921_62,5375
3903_6,5378
5266_34,5379
4188_6,5381
1794_1,5382
1470_52,5386
3361_7,5388
1366_80,5389
2833_1,5393
2262_0,5400
2939_0,5401
4858_21,5405
3683_0,5407
4468_1,5412
1069_24,5428
1328_24,5429
4611_4,5433
5019_4,5437
4665_2,5438
4012_12,5439
1939_10,5440
3426_16,5441
1364_26,5445
4097_12,5446
1467_35,5450
3431_57,5451
3174_67,5456
5341_24,5457
2086_2,5462
2833_2,5465
1882_18,5466
3922_0,5472
1419_7,5473
4946_12,5475
1537_26,5476
2138_4,5478
2413_0,5479
5087_9,5484
3821_50,5488
2864_7,5489
2518_11,5493
5085_10,5495
5019_20,5497
5053_10,5500
1071_28,5503
4949_91,5505
4949_3,5506
1464_84,5507
3426_11,5509
4858_26,5512
2308_0,5516
3760_1,5517
2851_0,5519
4369_39,5520
5036_0,5521
2261_10,5523
4611_14,5525
5122_50,5531
4568_11,5532
4671_4,5534
4400_4,5537
5341_0,5542
5011_14,5543
1366_15,5544
3853_10,5545
4057_2,5546
4294_10,5549
1730_7,5558
2952_4,5562
4369_17,5567
4134_11,5568
4499_17,5569
1327_3,5570
1482_16,5572
2423_1,5573
3620_8,5574
3431_9,5575
1379_13,5576
2632_3,5577
5144_52,5578
5032_10,5583
4246_1,5586
