stop_id,lat,long,g_id,boundary_g_id,lower_cut_stops_0,lower_cut_stops_1,lower_cut_stops_2,lower_cut_stops_3
17256,46.975126328731,7.1928014977934085,2,-1,0,0,-1,0
17257,46.6867022500439,7.680101606884719,-1,"[1, 2]",0,1,1,0
17258,46.786279802505796,7.0208729355418384,2,-1,0,0,1,0
17259,46.841671417590895,7.56885424208387,2,-1,0,0,1,0
17260,46.5892497101612,6.92157316402145,2,-1,0,0,1,0
17261,46.5396914183478,7.59874119159069,2,-1,0,0,1,0
17262,46.611685507143,9.98339097884064,1,-1,0,1,0,0
17263,46.320058467251606,7.98783747380838,2,-1,0,0,1,0
17264,47.45056279682471,8.56372943623189,0,-1,1,0,0,0
17265,46.3036215281564,7.80035907398654,2,-1,0,0,1,0
17266,45.8740527202812,9.02064852241005,3,-1,0,0,0,1
17267,47.66095476486,7.54294682928626,1,-1,0,1,0,0
17268,47.4759668880972,8.306712450256681,0,-1,1,0,0,0
17269,46.171040046337204,9.03228170534102,3,-1,0,0,0,1
17270,47.10253816697129,7.96308888772745,2,-1,0,0,1,0
17271,47.0158403299148,8.18974281709519,3,-1,0,0,0,1
17272,46.8086646378917,7.74658592107166,2,-1,0,0,1,0
17273,46.3145676267448,6.96274295349838,2,-1,0,0,1,0
17274,47.2388439772456,7.2541564317073215,2,-1,0,0,1,0
17275,47.4054696337266,8.6251921679799,0,-1,1,0,0,0
17276,47.491678118023,8.75934657252899,1,-1,0,0,0,0
17277,46.3194442650055,7.98638220304791,2,-1,0,0,1,0
17278,48.1496531773626,9.48492481076617,1,-1,0,1,0,0
17279,46.022396494050795,8.88586529716199,3,-1,0,0,0,1
17280,47.1379978879004,8.75366023677972,1,-1,0,1,0,0
17281,47.50953877205401,8.515301259258269,0,-1,1,0,0,0
17282,46.769171267017796,6.925669481717612,2,-1,0,0,1,0
17283,46.0927503107963,7.22031689494982,3,-1,0,0,0,1
17284,47.168182057919594,9.51199105028046,1,-1,0,0,0,0
17285,47.241155468719995,8.92623558603594,1,-1,0,1,0,0
17286,46.975904750145396,6.8730371892137185,2,-1,0,0,0,0
17287,46.9349149628222,7.46695833939201,2,-1,0,0,0,0
17288,47.0495031978049,6.75145021549121,2,-1,0,0,0,0
17289,47.3563884864263,8.34852004358542,0,-1,1,0,0,0
17290,47.779768185837405,8.61843683704238,1,-1,0,1,0,0
17291,46.820480566335895,7.73054201009505,2,-1,0,0,1,0
17292,46.8196445610192,8.40264353946115,3,-1,0,0,0,1
17293,47.5018259968215,7.71916933859652,2,-1,0,0,1,0
17294,47.348647147750995,8.57065544707342,0,-1,0,0,0,0
17295,47.6345082554748,9.22090096557385,1,-1,0,1,0,0
17296,47.3891670365281,8.681507553149201,0,-1,1,0,0,0
17297,46.7944907067399,7.14208261684496,2,-1,0,0,1,0
17298,47.110737385859785,8.64276321493973,1,-1,0,1,0,0
17299,47.669037340824005,8.633214123468209,1,-1,0,1,0,0
17300,47.286968044788104,8.61650545918126,0,-1,1,0,0,0
17301,47.784603212082786,9.60610754261076,1,-1,0,1,0,0
17302,46.9970893966782,6.93570366344262,2,-1,0,0,0,0
17303,46.7689682204777,9.419491525461787,1,-1,0,1,0,0
17304,46.9707559256823,9.68740507583489,1,-1,0,1,0,0
17305,47.14606944927179,7.25414744855447,2,-1,0,0,0,0
17306,46.2532189175559,7.35794777964893,2,-1,0,0,1,0
17307,46.1889533326107,7.18203069753532,2,-1,0,0,1,0
17308,47.4091356551054,9.61375220567968,1,-1,0,0,0,0
17309,46.49802845423329,9.8463889148405,1,-1,0,1,0,0
17310,46.96822423854101,8.35352365971866,3,-1,0,0,0,1
17311,47.2770590640237,8.90401126590373,1,-1,0,1,0,0
17312,46.2156258440892,7.2591959804519295,2,-1,0,0,1,0
17313,46.5934351386024,6.857343621197961,2,-1,0,0,1,0
17314,46.0017333852233,8.931625477741411,3,-1,0,0,0,1
17315,46.354231984555504,7.98091146296686,2,-1,0,0,1,0
17316,46.7948166568615,7.13327912705937,2,-1,0,0,1,0
17317,46.8254901787841,7.30214443419166,2,-1,0,0,1,0
17318,46.75497462429181,7.62959832160449,2,-1,0,0,1,0
17319,47.30643323730229,7.05517959624714,2,-1,0,0,1,0
17320,46.8104169036091,9.39776127873592,1,-1,0,1,0,0
17321,47.3611288870976,8.63861299832652,0,-1,0,0,0,0
17322,46.872527013485495,8.72874097079477,1,-1,0,1,0,0
17323,47.0556665042851,8.07974411053944,2,-1,0,0,1,0
17324,47.136457980763,9.06003964762417,1,-1,0,1,0,0
17325,45.952134159228706,8.96436008669928,3,-1,0,0,0,1
17326,47.459424953457,7.58336203392442,2,-1,0,0,1,0
17327,47.3784195233255,8.540193575784679,-1,"[1, 2]",0,1,1,0
17328,46.899804972267894,7.66287191973291,2,-1,0,0,1,0
17329,47.4713218264476,9.04452574266527,1,-1,0,1,0,0
17330,46.054355443308104,8.94457020098737,3,-1,0,0,0,1
17331,46.5247174460771,6.51945131018221,3,-1,0,0,0,0
17332,46.242720303957704,6.958026798256099,2,-1,0,0,1,0
17333,46.88875547881471,7.22311065548382,2,-1,0,0,1,0
17334,46.3168881169602,7.95904646894834,2,-1,0,0,1,0
17335,46.199953426633996,7.4003033453010705,2,-1,0,0,1,0
17336,46.4261869220699,6.25479864429092,2,-1,0,0,1,0
17337,48.8264752480238,9.121170002717019,1,-1,0,1,0,0
17338,47.478516943432396,9.481133920266661,1,-1,0,0,0,0
17339,47.182147352339896,7.03662938562749,2,-1,0,0,1,0
17340,46.51694764664151,6.61514883741279,3,-1,0,0,0,0
17341,47.30818140307421,8.55359643982561,0,-1,0,0,0,0
17342,47.353814252184286,7.90768978414808,-1,"[1, 2]",0,0,1,0
17343,47.020727600033204,8.46945124715042,1,-1,0,1,0,0
