trips,routes
9150_74,3611
2788_16,3618
3575_1,3621
4365_14,3624
7018_3,3627
1920_39,3630
4751_52,3631
6380_16,3632
7783_1,3633
7127_9,3634
9676_18,3636
4789_66,3637
1847_11,3638
6891_4,3639
7307_6,3650
4592_5,3652
6833_10,3658
4355_0,3663
2824_11,3664
9527_32,3668
2141_12,3670
8854_0,3672
3747_36,3673
4198_0,3677
2798_8,3678
6588_3,3679
1623_12,3680
2949_41,3681
6891_11,3686
3415_3,3687
4790_13,3688
3754_0,3689
4150_11,3692
7030_19,3697
9822_6,3702
3627_62,3703
3538_9,3708
1718_11,3714
4785_3,3716
2838_11,3724
1847_8,3727
8501_0,3728
9345_18,3731
5497_64,3732
2407_27,3734
8812_12,3736
1987_8,3741
7411_6,3743
2444_14,3744
3438_4,3745
9228_17,3747
2315_1,3748
1254_30,3749
4189_2,3750
4790_10,3754
6945_5,3759
6040_20,3760
6954_46,3761
4751_19,3762
9485_0,3765
4500_7,3768
7789_60,3775
2584_8,3776
1707_17,3785
5157_2,3810
5147_21,3811
6457_14,3814
5413_7,3823
9974_3,3825
7472_3,3826
2583_7,3828
4751_10,3830
7036_3,3839
8581_0,3844
9214_0,3848
1987_0,3854
7309_25,3860
4607_33,3870
6178_0,3871
4198_7,3872
1287_1,3873
5124_51,3883
7309_20,3884
7309_21,3889
7134_32,3890
3319_8,3893
1987_22,3894
7312_19,3895
7022_4,3897
5506_8,3899
8933_48,3902
8722_7,3904
4379_1,3905
4830_9,3907
9271_20,3908
3627_26,3911
4380_0,3912
9974_7,3913
9075_39,3916
8171_36,3918
5477_5,3920
8611_10,3926
1987_21,3929
7750_7,3932
2771_26,3934
4607_68,3935
1615_6,3937
9350_4,3938
3747_43,3939
6477_9,3940
8307_0,3941
4558_4,3947
8521_12,3948
2602_67,3949
8933_34,3951
3658_24,3954
3199_4,3957
8117_0,3963
3741_0,3965
1255_3,3966
8072_9,3968
4103_5,3974
2396_5,3975
7805_26,3976
3627_47,3983
6081_0,3985
8557_9,3989
6081_4,3992
3183_0,3995
9582_1,3998
3957_2,4002
1257_3,4003
2864_14,4004
3414_3,4019
2659_14,4022
3965_67,4025
3989_1,4026
2632_9,4034
6486_0,4047
7309_2,4048
3775_5,4049
8412_1,4052
8130_3,4053
9150_3,4058
2769_12,4059
2781_0,4062
5835_23,4063
4789_8,4084
2478_31,4089
9075_9,4091
2479_43,4094
2522_15,4099
3577_10,4102
2584_97,4103
2717_74,4108
4572_0,4114
9658_2,4115
5130_0,4119
7784_52,4120
7383_18,4123
3333_28,4130
9655_8,4131
3602_73,4132
2484_28,4134
8004_40,4137
2684_5,4138
1988_2,4139
7438_1,4141
7469_0,4143
5959_7,4149
2485_22,4150
9359_6,4152
9075_56,4153
9697_9,4155
7768_0,4160
7507_2,4161
6081_87,4162
9109_3,4165
2803_2,4166
8592_8,4167
7171_16,4171
3670_18,4175
5329_0,4176
7050_2,4177
8004_86,4178
1616_3,4189
5477_98,4191
7383_41,4192
6379_25,4195
6853_44,4197
4951_14,4198
4171_24,4199
4166_2,4206
2479_6,4210
2992_15,4211
5147_16,4213
6070_14,4217
3533_0,4219
8518_93,4220
7873_22,4222
4247_11,4227
4601_8,4231
5497_27,4232
8936_9,4233
9843_14,4235
7767_4,4237
3602_84,4238
4103_9,4242
6540_1,4244
7522_3,4245
2585_46,4247
5130_7,4260
6872_87,4266
9650_3,4294
5161_12,4296
9515_11,4301
7271_1,4302
3745_8,4322
9974_26,4337
5807_85,4339
1928_10,4340
3907_6,4341
1617_5,4345
7171_25,4355
3421_4,4360
8349_6,4362
8722_84,4363
8251_0,4365
6945_25,4366
7383_87,4368
6282_8,4369
7312_32,4372
2493_2,4373
6179_77,4375
7383_1,4376
9540_28,4377
8588_34,4379
9658_24,4380
2602_47,4381
3405_6,4385
2788_32,4388
4751_42,4391
2518_10,4392
3672_0,4399
6226_0,4406
3747_81,4408
6122_6,4411
3244_1,4412
2787_19,4414
2850_18,4418
6490_21,4427
2477_27,4429
4599_10,4430
2509_9,4433
4408_0,4435
2315_0,4436
3650_10,4438
2916_11,4439
9051_3,4440
6179_57,4442
9589_27,4443
8004_89,4446
6872_105,4456
7634_24,4466
4751_62,4476
3899_2,4478
8507_1,4479
4789_1,4500
7784_73,4502
6891_14,4503
9674_39,4504
8731_12,4506
1287_3,4508
2605_8,4510
8349_3,4512
4751_26,4519
2712_1,4524
8715_15,4525
7844_12,4526
7577_3,4527
6872_85,4528
2992_17,4541
6845_36,4542
1954_0,4547
9823_17,4548
3631_11,4551
2827_29,4553
2709_33,4554
6872_103,4555
2840_1,4558
8741_0,4559
3677_28,4562
4392_21,4571
1266_3,4572
9108_0,4575
4418_16,4576
5172_0,4580
7813_3,4581
8591_9,4582
3414_9,4584
8776_9,4587
6495_6,4588
4596_0,4590
3627_40,4591
3966_1,4592
4430_1,4593
6872_41,4594
2396_7,4596
6379_26,4599
5605_0,4601
6931_0,4602
5124_3,4603
6601_6,4604
8176_0,4605
4062_2,4607
4782_1,4608
7784_64,4609
3281_34,4614
2949_55,4615
4022_25,4618
3351_4,4619
2769_3,4621
2584_24,4623
4751_4,4628
5112_1,4633
3284_7,4635
2792_12,4637
4789_79,4640
6040_5,4641
3405_17,4649
2795_17,4651
7143_11,4664
6872_100,4666
4939_0,4674
7973_1,4679
7565_0,4680
4609_1,4694
3830_4,4696
3376_25,4698
8671_15,4700
7784_55,4702
1615_16,4713
9343_3,4717
9527_15,4722
3414_34,4726
3872_1,4737
5807_29,4739
5130_12,4740
7534_6,4741
4366_0,4746
9075_57,4747
3292_0,4748
2586_56,4751
9515_2,4753
2855_18,4756
6863_9,4757
3345_6,4759
2167_10,4763
2631_19,4765
8241_1,4770
4599_27,4771
8936_100,4772
5124_23,4774
5124_101,4777
2485_18,4779
6845_18,4780
5182_14,4782
6080_7,4783
2099_4,4785
2738_10,4788
5477_30,4789
6185_27,4790
6490_26,4792
4527_1,4795
9919_1,4796
8722_79,4797
6390_39,4800
7383_5,4803
2602_14,4807
3975_44,4811
8246_0,4813
1867_1,4818
8363_0,4825
1926_15,4826
5542_4,4828
3744_15,4829
4266_10,4830
6081_19,4837
9034_4,4838
2787_12,4850
8004_68,4851
6927_0,4876
4828_1,4884
6379_32,4891
7873_10,4892
5124_56,4893
4780_46,4894
4945_35,4903
6299_82,4904
2118_20,4910
9527_90,4917
9075_59,4918
1870_20,4920
1610_9,4923
9638_3,4924
8722_13,4932
8793_2,4934
7383_3,4935
2901_5,4939
4099_0,4940
4399_4,4944
2889_12,4945
9642_10,4949
2485_6,4951
2864_20,4954
4004_5,4955
8722_58,4956
7202_78,4960
5652_16,4967
9308_1,4969
5497_16,4970
3263_6,4976
8891_0,4984
5483_0,4987
5708_16,4989
3602_78,4990
8591_17,4991
4780_36,4999
9674_68,5009
8762_0,5014
2720_23,5017
9075_12,5020
7473_81,5022
4153_73,5031
5221_0,5033
1988_16,5059
6269_0,5060
2826_18,5062
7784_57,5063
8629_99,5064
4519_46,5065
9979_34,5095
3578_1,5107
3376_102,5108
5805_1,5112
2864_23,5115
8722_6,5116
8573_0,5117
4519_13,5124
8365_2,5126
3968_3,5130
3414_69,5132
4954_9,5133
2309_3,5136
4601_9,5137
9228_3,5138
1266_10,5142
4795_0,5145
7385_1,5147
2584_70,5148
2484_17,5153
7805_21,5157
2850_17,5159
9051_2,5161
3934_1,5164
2617_8,5168
3965_56,5171
1270_20,5172
4790_16,5175
4294_0,5176
1139_12,5177
5124_72,5182
8731_13,5191
2832_59,5194
2834_24,5201
5175_6,5210
4058_8,5221
7961_5,5248
6081_66,5254
5124_36,5257
5413_35,5258
7784_54,5260
4751_84,5261
9150_91,5263
9222_0,5270
2508_6,5271
5477_80,5272
2736_29,5273
10075_0,5274
7805_6,5275
4956_42,5276
5159_0,5278
5884_7,5280
6040_18,5283
1254_39,5284
2602_29,5295
6872_76,5297
4152_20,5305
8285_6,5308
3414_37,5310
5835_1,5311
4412_0,5321
2675_63,5328
6540_4,5329
8241_35,5330
6890_2,5345
6076_4,5348
2949_100,5356
8241_44,5405
9349_36,5413
9055_1,5433
9244_2,5434
5709_18,5435
8936_34,5439
1925_20,5470
9271_16,5475
5687_8,5477
2711_6,5481
5642_2,5483
5679_1,5487
8720_5,5490
3966_4,5493
1987_19,5497
3596_5,5498
1273_25,5499
4137_1,5505
6380_19,5506
5031_5,5507
3765_5,5519
7462_0,5523
4940_10,5525
2504_1,5531
4198_5,5533
4789_64,5535
9271_74,5538
4951_1,5541
6497_0,5542
1846_9,5543
2636_0,5544
2485_8,5545
2683_4,5567
5107_2,5568
9515_80,5591
8171_3,5592
7238_2,5594
4132_3,5597
6282_10,5602
8812_14,5604
2584_52,5605
2659_2,5606
5497_36,5607
5137_0,5612
1265_15,5614
