from_stop_id,to_stop_id,min_transfer_time
699,10015,1
699,10091,1
699,10522,1
699,10641,1
699,10993,1
699,11035,1
699,11083,1
699,11136,1
699,11356,1
699,11390,1
699,11632,1
699,12010,1
699,12149,1
699,12227,1
699,12344,1
699,12406,1
699,13015,1
699,13098,1
699,13333,1
699,13430,1
699,13440,1
699,13649,1
699,13868,1
699,14062,1
699,14163,1
699,14312,1
699,14918,1
699,15533,1
699,15586,1
699,15650,1
699,15796,1
699,15889,1
699,15967,1
699,16080,1
699,16108,1
699,16198,1
699,16493,1
699,16562,1
699,16637,1
699,17013,1
699,17145,1
699,17278,1
699,17394,1
699,17713,1
699,17931,1
699,18245,1
1061,1338,1
1061,1349,1
1061,1597,1
1061,2086,1
1061,2414,1
1061,2559,1
1061,2748,1
1061,3060,1
1061,3158,1
1061,4022,1
1061,4043,1
1061,4125,1
1061,5404,1
1061,5507,1
1061,5512,1
1061,5596,1
1061,5873,1
1061,6157,1
1061,7058,1
1061,7728,1
1061,8149,1
1061,8730,1
1061,9140,1
1061,9208,1
1061,9510,1
1061,9676,1
1061,9775,1
1061,10015,1
1061,10091,1
1061,10522,1
1061,10641,1
1061,10993,1
1061,11035,1
1061,11083,1
1061,11136,1
1061,11356,1
1061,11390,1
1061,11632,1
1061,12010,1
1061,12149,1
1061,12227,1
1061,12344,1
1061,12406,1
1061,13015,1
1061,13098,1
1061,13333,1
1061,13430,1
1061,13440,1
1061,13649,1
1061,13868,1
1061,14062,1
1061,14163,1
1061,14312,1
1061,14918,1
1061,15533,1
1061,15586,1
1061,15650,1
1061,15796,1
1061,15889,1
1061,15967,1
1061,16080,1
1061,16108,1
1061,16198,1
1061,16493,1
1061,16562,1
1061,16637,1
1061,17013,1
1061,17145,1
1061,17278,1
1061,17394,1
1061,17713,1
1061,17931,1
1061,18245,1
1338,1349,1
1338,1597,1
1338,2086,1
1338,2414,1
1338,2559,1
1338,2748,1
1338,3060,1
1338,3158,1
1338,4022,1
1338,4043,1
1338,4125,1
1338,5404,1
1338,5507,1
1338,5512,1
1338,5596,1
1338,5873,1
1338,6157,1
1338,7058,1
1338,7728,1
1338,8149,1
1338,8730,1
1338,9140,1
1338,9208,1
1338,9510,1
1338,9676,1
1338,9775,1
1338,10015,1
1338,10091,1
1338,10522,1
1338,10641,1
1338,10993,1
1338,11035,1
1338,11083,1
1338,11136,1
1338,11356,1
1338,11390,1
1338,11632,1
1338,12010,1
1338,12149,1
1338,12227,1
1338,12344,1
1338,12406,1
1338,13015,1
1338,13098,1
1338,13333,1
1338,13430,1
1338,13440,1
1338,13649,1
1338,13868,1
1338,14062,1
1338,14163,1
1338,14312,1
1338,14918,1
1338,15533,1
1338,15586,1
1338,15650,1
1338,15796,1
1338,15889,1
1338,15967,1
1338,16080,1
1338,16108,1
1338,16198,1
1338,16493,1
1338,16562,1
1338,16637,1
1338,17013,1
1338,17145,1
1338,17278,1
1338,17394,1
1338,17713,1
1338,17931,1
1338,18245,1
1349,1597,1
1349,2086,1
1349,2414,1
1349,2559,1
1349,2748,1
1349,3060,1
1349,3158,1
1349,4022,1
1349,4043,1
1349,4125,1
1349,5404,1
1349,5507,1
1349,5512,1
1349,5596,1
1349,5873,1
1349,6157,1
1349,7058,1
1349,7728,1
1349,8149,1
1349,8730,1
1349,9140,1
1349,9208,1
1349,9510,1
1349,9676,1
1349,9775,1
1349,10015,1
1349,10091,1
1349,10522,1
1349,10641,1
1349,10993,1
1349,11035,1
1349,11083,1
1349,11136,1
1349,11356,1
1349,11390,1
1349,11632,1
1349,12010,1
1349,12149,1
1349,12227,1
1349,12344,1
1349,12406,1
1349,13015,1
1349,13098,1
1349,13333,1
1349,13430,1
1349,13440,1
1349,13649,1
1349,13868,1
1349,14062,1
1349,14163,1
1349,14312,1
1349,14918,1
1349,15533,1
1349,15586,1
1349,15650,1
1349,15796,1
1349,15889,1
1349,15967,1
1349,16080,1
1349,16108,1
1349,16198,1
1349,16493,1
1349,16562,1
1349,16637,1
1349,17013,1
1349,17145,1
1349,17278,1
1349,17394,1
1349,17713,1
1349,17931,1
1349,18245,1
1597,2086,1
1597,2414,1
1597,2559,1
1597,2748,1
1597,3060,1
1597,3158,1
1597,4022,1
1597,4043,1
1597,4125,1
1597,5404,1
1597,5507,1
1597,5512,1
1597,5596,1
